年,月,週,開発内容,開発工程,習得すべきスキル,参考サイトURL,完了
2025,10,1,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2025,10,2,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2025,10,3,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2025,10,4,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2025,11,5,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2025,11,6,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2025,11,7,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2025,11,8,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2025,12,9,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2025,12,10,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2025,12,11,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2025,12,12,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2025,12,13,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,1,14,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,1,15,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,1,16,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,1,17,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,2,18,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,2,19,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,2,20,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,2,21,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,3,22,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,3,23,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,3,24,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,3,25,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,3,26,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,4,27,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,4,28,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,4,29,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,4,30,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,5,31,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,5,32,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,5,33,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,5,34,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,6,35,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,6,36,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,6,37,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,6,38,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,6,39,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,7,40,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,7,41,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,7,42,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,7,43,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,8,44,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,8,45,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,8,46,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,8,47,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,8,48,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,9,49,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,9,50,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,9,51,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,9,52,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,10,53,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,10,54,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,10,55,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,10,56,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,11,57,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,11,58,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,11,59,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,11,60,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,11,61,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,12,62,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,12,63,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,12,64,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,12,65,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
